day,month,year,longitude,latitude,rainfall,temperature,datetime
1,2,2003,29.9,-22.27,0.012296996317218145,29.87051417032879,2003-02-01
1,2,2003,30.5,-22.97,0.25097756326886156,25.94248860677085,2003-02-01
1,2,2003,31.59,-24.99,0.05502483527664026,29.25362548828127,2003-02-01
1,2,2004,29.9,-22.27,0.008754445133263289,26.625449117024758,2004-02-01
1,2,2004,30.5,-22.97,0.21024021944526794,23.670594787597675,2004-02-01
1,2,2004,31.59,-24.99,0.0027459027727161356,25.85876617431643,2004-02-01
1,2,2005,29.9,-22.27,0.18037602251297358,29.68232625325523,2005-02-01
1,2,2005,30.5,-22.97,0.02890512129738454,25.363918558756534,2005-02-01
1,2,2005,31.59,-24.99,0.0988656501981211,26.120107269287132,2005-02-01
1,2,2006,29.9,-22.27,0.1065516036682368,26.999078369140644,2006-02-01
